1.949845e-05	1.258995e-03	1.585009e-03	1.995416e-03	1.995444e-03	2.512035e-03	2.512051e-03	3.162437e-03	3.162444e-03	3.162448e-03	3.981236e-03	3.981241e-03
1.995262e-05	1.258997e-03	1.585011e-03	1.995418e-03	1.995447e-03	2.512038e-03	2.512054e-03	3.162440e-03	3.162447e-03	3.162452e-03	3.981239e-03	3.981244e-03
2.041738e-05	1.258999e-03	1.585014e-03	1.995421e-03	1.995451e-03	2.512041e-03	2.512058e-03	3.162443e-03	3.162450e-03	3.162455e-03	3.981242e-03	3.981247e-03
2.089296e-05	1.259001e-03	1.585016e-03	1.995424e-03	1.995454e-03	2.512045e-03	2.512062e-03	3.162447e-03	3.162454e-03	3.162459e-03	3.981246e-03	3.981251e-03
2.137962e-05	1.259004e-03	1.585019e-03	1.995427e-03	1.995458e-03	2.512048e-03	2.512065e-03	3.162450e-03	3.162457e-03	3.162462e-03	3.981249e-03	3.981254e-03
2.187762e-05	1.259006e-03	1.585022e-03	1.995430e-03	1.995462e-03	2.512051e-03	2.512069e-03	3.162453e-03	3.162461e-03	3.162466e-03	3.981252e-03	3.981258e-03
2.238721e-05	1.259009e-03	1.585025e-03	1.995433e-03	1.995465e-03	2.512055e-03	2.512073e-03	3.162457e-03	3.162465e-03	3.162470e-03	3.981256e-03	3.981262e-03
2.290868e-05	1.259011e-03	1.585028e-03	1.995436e-03	1.995469e-03	2.512058e-03	2.512077e-03	3.162461e-03	3.162469e-03	3.162474e-03	3.981260e-03	3.981265e-03
2.344229e-05	1.259014e-03	1.585031e-03	1.995439e-03	1.995473e-03	2.512062e-03	2.512081e-03	3.162464e-03	3.162473e-03	3.162478e-03	3.981263e-03	3.981269e-03
2.398833e-05	1.259017e-03	1.585034e-03	1.995442e-03	1.995477e-03	2.512066e-03	2.512086e-03	3.162468e-03	3.162477e-03	3.162482e-03	3.981267e-03	3.981273e-03
2.454709e-05	1.259019e-03	1.585037e-03	1.995446e-03	1.995481e-03	2.512070e-03	2.512090e-03	3.162472e-03	3.162481e-03	3.162487e-03	3.981271e-03	3.981277e-03
2.511886e-05	1.259022e-03	1.585040e-03	1.995449e-03	1.995485e-03	2.512074e-03	2.512094e-03	3.162476e-03	3.162485e-03	3.162491e-03	3.981275e-03	3.981281e-03
2.570396e-05	1.259025e-03	1.585043e-03	1.995452e-03	1.995490e-03	2.512078e-03	2.512099e-03	3.162480e-03	3.162489e-03	3.162495e-03	3.981279e-03	3.981285e-03
2.630268e-05	1.259028e-03	1.585047e-03	1.995456e-03	1.995494e-03	2.512082e-03	2.512104e-03	3.162484e-03	3.162494e-03	3.162500e-03	3.981283e-03	3.981290e-03
2.691535e-05	1.259031e-03	1.585050e-03	1.995460e-03	1.995499e-03	2.512086e-03	2.512108e-03	3.162489e-03	3.162498e-03	3.162505e-03	3.981288e-03	3.981294e-03
2.754229e-05	1.259034e-03	1.585054e-03	1.995463e-03	1.995503e-03	2.512090e-03	2.512113e-03	3.162493e-03	3.162503e-03	3.162509e-03	3.981292e-03	3.981299e-03
