1.000000e-05	3.5350e-09
1.023340e-05	3.6156e-09
1.047225e-05	3.6982e-09
1.071668e-05	3.7826e-09
1.096681e-05	3.8691e-09
1.122277e-05	3.9575e-09
1.148472e-05	4.0480e-09
1.175277e-05	4.1407e-09
1.202708e-05	4.2355e-09
1.230780e-05	4.3325e-09
1.259506e-05	4.4317e-09
1.288904e-05	4.5333e-09
1.318987e-05	4.6373e-09
1.349772e-05	4.7437e-09
1.381276e-05	4.8525e-09
1.413516e-05	4.9639e-09
1.446507e-05	5.0779e-09
1.480269e-05	5.1946e-09
1.514819e-05	5.3140e-09
1.550175e-05	5.4362e-09
1.586357e-05	5.5612e-09
1.623382e-05	5.6891e-09
1.661273e-05	5.8201e-09
1.700047e-05	5.9541e-09
1.739726e-05	6.0912e-09
1.780332e-05	6.2315e-09
1.821885e-05	6.3751e-09
1.864409e-05	6.5220e-09
1.907924e-05	6.6724e-09
1.952456e-05	6.8263e-09
1.998026e-05	6.9837e-09
2.044661e-05	7.1449e-09
2.092383e-05	7.3098e-09
2.141220e-05	7.4786e-09
2.191197e-05	7.6512e-09
2.242340e-05	7.8280e-09
2.294676e-05	8.0088e-09
2.348235e-05	8.1939e-09
2.403043e-05	8.3833e-09
2.459130e-05	8.5771e-09
2.516527e-05	8.7754e-09
2.575263e-05	8.9784e-09
2.635371e-05	9.1861e-09
2.696881e-05	9.3987e-09
2.759826e-05	9.6162e-09
2.824241e-05	9.8388e-09
2.890160e-05	1.0067e-08
2.957617e-05	1.0300e-08
3.026648e-05	1.0538e-08
3.097291e-05	1.0782e-08
3.169582e-05	1.1032e-08
3.243561e-05	1.1288e-08
3.319266e-05	1.1549e-08
3.396739e-05	1.1817e-08
3.476019e-05	1.2091e-08
3.557150e-05	1.2371e-08
3.640175e-05	1.2658e-08
3.725137e-05	1.2952e-08
3.812083e-05	1.3252e-08
3.901058e-05	1.3560e-08
3.992109e-05	1.3874e-08
4.085286e-05	1.4196e-08
4.180637e-05	1.4526e-08
4.278214e-05	1.4863e-08
4.378069e-05	1.5208e-08
4.480254e-05	1.5561e-08
4.584824e-05	1.5923e-08
4.691835e-05	1.6293e-08
4.801343e-05	1.6671e-08
4.913407e-05	1.7058e-08
5.028087e-05	1.7455e-08
5.145444e-05	1.7860e-08
5.265540e-05	1.8275e-08
5.388438e-05	1.8700e-08
5.514206e-05	1.9135e-08
5.642908e-05	1.9579e-08
5.774615e-05	2.0035e-08
5.909396e-05	2.0500e-08
6.047322e-05	2.0977e-08
6.188468e-05	2.1465e-08
6.332908e-05	2.1964e-08
6.480720e-05	2.2475e-08
6.631981e-05	2.2997e-08
6.786773e-05	2.3532e-08
6.945178e-05	2.4080e-08
7.107280e-05	2.4640e-08
7.273165e-05	2.5213e-08
7.442922e-05	2.5800e-08
7.616642e-05	2.6400e-08
7.794416e-05	2.7014e-08
7.976339e-05	2.7643e-08
8.162509e-05	2.8286e-08
8.353023e-05	2.8945e-08
8.547985e-05	2.9618e-08
8.747496e-05	3.0308e-08
8.951665e-05	3.1013e-08
9.160598e-05	3.1735e-08
9.374409e-05	3.2474e-08
9.593209e-05	3.3231e-08
9.817117e-05	3.4004e-08
1.004625e-04	3.4796e-08
1.028073e-04	3.5606e-08
1.052069e-04	3.6436e-08
1.076624e-04	3.7284e-08
1.101753e-04	3.8153e-08
1.127468e-04	3.9041e-08
1.153783e-04	3.9951e-08
1.180713e-04	4.0881e-08
1.208271e-04	4.1834e-08
1.236472e-04	4.2808e-08
1.265332e-04	4.3806e-08
1.294865e-04	4.4826e-08
1.325087e-04	4.5871e-08
1.356015e-04	4.6940e-08
1.387665e-04	4.8034e-08
1.420053e-04	4.9153e-08
1.453198e-04	5.0298e-08
1.487115e-04	5.1470e-08
1.521825e-04	5.2670e-08
1.557345e-04	5.3898e-08
1.593694e-04	5.5154e-08
1.630891e-04	5.6439e-08
1.668956e-04	5.7755e-08
1.707910e-04	5.9101e-08
1.747773e-04	6.0479e-08
1.788566e-04	6.1889e-08
1.830312e-04	6.3331e-08
1.873032e-04	6.4808e-08
1.916748e-04	6.6319e-08
1.961486e-04	6.7865e-08
2.007267e-04	6.9447e-08
2.054117e-04	7.1066e-08
2.102061e-04	7.2723e-08
2.151123e-04	7.4419e-08
2.201331e-04	7.6154e-08
2.252711e-04	7.7930e-08
2.305289e-04	7.9747e-08
2.359095e-04	8.1607e-08
2.414157e-04	8.3510e-08
2.470504e-04	8.5457e-08
2.528166e-04	8.7450e-08
2.587174e-04	8.9489e-08
2.647559e-04	9.1577e-08
2.709354e-04	9.3712e-08
